企業名,店舗名,ieul_企業id,ieul_店舗id,ロゴURL,郵便番号,都道府県,市区町村,以降住所,電話番号,FAX番号,営業時間,定休日,キャッチコピー,紹介文,査定依頼可能エリア,※参考※査定依頼可能エリア
あんず不動産,品川支店,1,1,https://foodslink.jp/syokuzaihyakka/syun/fruit/abricotto/anzu21s.jpg,329-1224,東京都,港区,品川2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はあんず不動産にお任せください,あんず不動産品川支店にお任せください！東京都の不動産売却の実績多数です。,"659,660,661,662","中央区,港区,新宿区,文京区"
あんず不動産,赤坂支店,1,2,https://foodslink.jp/syokuzaihyakka/syun/fruit/abricotto/anzu21s.jpg,329-1224,東京都,港区,赤坂2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はあんず不動産にお任せください,あんず不動産赤坂支店にお任せください！東京都の不動産売却の実績多数です。,"659,660,661,662","中央区,港区,新宿区,文京区"
あんず不動産,六本木支店,1,3,https://foodslink.jp/syokuzaihyakka/syun/fruit/abricotto/anzu21s.jpg,329-1224,東京都,港区,六本木3丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はあんず不動産にお任せください,あんず不動産六本木支店にお任せください！東京都の不動産売却の実績多数です。,"659,660,661,662","中央区,港区,新宿区,文京区"
いちご不動産,渋谷支店,2,4,https://foodslink.jp/syokuzaihyakka/syun/fruit/Strawberry/Benituyaka08s.jpg,329-1224,東京都,渋谷区,渋谷2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はいちご不動産にお任せください,いちご不動産渋谷支店にお任せください！東京都の不動産売却の実績多数です。,"669,670,671,672","世田谷区,渋谷区,中野区,杉並区"
いちご不動産,中目黒支店,2,5,https://foodslink.jp/syokuzaihyakka/syun/fruit/Strawberry/Benituyaka08s.jpg,329-1224,東京都,目黒区,中目黒7丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はいちご不動産にお任せください,いちご不動産中目黒支店にお任せください！東京都の不動産売却の実績多数です。,"666,667,668,669","品川区,目黒区,大田区,世田谷区"
Speee31不動産,35支店,31,35,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,青森県,青森市,青葉２丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee31不動産にお任せください,Speee31不動産35支店にお任せください！東京都の不動産売却の実績多数です。,"188,189,190,191",
Speee31不動産,36支店,31,36,https://foodslink.jp/syokuzaihyakka/syun/fruit/Banana/Chiquita07.jpg,329-1224,京都府,南丹市,園部町天引向井田,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee31不動産にお任せください,Speee31不動産36支店にお任せください！東京都の不動産売却の実績多数です。,"1,194,119,511,961,190",
Speee31不動産,37支店,31,37,https://foodslink.jp/syokuzaihyakka/syun/fruit/Banana/Chiquita07.jpg,329-1224,石川県,羽咋市,大町ニ,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee31不動産にお任せください,Speee31不動産37支店にお任せください！東京都の不動産売却の実績多数です。,"835,836,837,838",
Speee31不動産,38支店,31,38,https://foodslink.jp/syokuzaihyakka/syun/fruit/Banana/Chiquita07.jpg,329-1224,埼玉県,上尾市,仲町１丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee31不動産にお任せください,Speee31不動産38支店にお任せください！東京都の不動産売却の実績多数です。,"549,550,551,552",
Speee32不動産,39支店,32,39,https://foodslink.jp/syokuzaihyakka/syun/fruit/sumomo/sumomo-taiyo2s.jpg,329-1224,愛知県,稲沢市,平和町法立起南,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee32不動産にお任せください,Speee32不動産39支店にお任せください！東京都の不動産売却の実績多数です。,"1,088,108,910,901,090",
Speee32不動産,40支店,32,40,https://foodslink.jp/syokuzaihyakka/syun/fruit/Figue-page/ichijiku-toyomituhime2s.jpg,329-1224,大阪府,堺市堺区,櫛屋町西１丁,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee32不動産にお任せください,Speee32不動産40支店にお任せください！東京都の不動産売却の実績多数です。,"1,231,123,212,331,230",
口コミなし不動産,口コミ無し支店,34,42,https://foodslink.jp/syokuzaihyakka/syun/fruit/Cranberry/Cranberry07s.jpg,329-1224,神奈川県,相模原市中央区,上溝４丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee34不動産にお任せください,Speee34不動産42支店にお任せください！東京都の不動産売却の実績多数です。,"745,746,747,748",
口コミなし不動産,43支店,34,43,https://foodslink.jp/syokuzaihyakka/syun/fruit/Budou-page/budou-Kyoho10s.jpg,329-1224,京都府,南丹市,日吉町天若向山,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はSpeee34不動産にお任せください,Speee34不動産43支店にお任せください！東京都の不動産売却の実績多数です。,"1,194,119,511,961,190",
株式会社メロン,,3,6,https://foodslink.jp/syokuzaihyakka/syun/fruit/Melon/EarlsMelon16s.jpg,329-1224,埼玉県,川越市,中台南2丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却は株式会社メロンにお任せください,株式会社メロンにお任せください！東京都の不動産売却の実績多数です。,"534,535,536,537","さいたま市岩槻区,川越市,熊谷市,川口市"
株式会社トロピカル,,4,7,https://foodslink.jp/syokuzaihyakka/syun/top-img/durian16bs.jpg,329-1224,神奈川県,厚木市,愛甲西3丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却は株式会社トロピカルにお任せください,株式会社トロピカルにお任せください！東京都の不動産売却の実績多数です。,"756,757,758,759","秦野市,厚木市,大和市,伊勢原市"
りんご不動産,,5,8,https://foodslink.jp/syokuzaihyakka/syun/top-img/apple_Haruka04bs.jpg,329-1224,埼玉県,川口市,芝樋ノ爪1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はりんご不動産にお任せください,りんご不動産にお任せください！東京都の不動産売却の実績多数です。,"536,537,538,539","熊谷市,川口市,行田市,秩父市"
桃エステート,,6,9,https://foodslink.jp/syokuzaihyakka/syun/fruit/Peach-page/momo_Sakura07s.jpg,329-1224,神奈川県,藤沢市,片瀬海岸3丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却は桃エステートにお任せください,桃エステートにお任せください！東京都の不動産売却の実績多数です。,"750,751,752,753","鎌倉市,藤沢市,小田原市,茅ヶ崎市"
ばなな不動産,,7,10,https://foodslink.jp/syokuzaihyakka/syun/fruit/Banana/Chiquita07.jpg,329-1224,神奈川県,横浜市西区,中央1丁目,03-0000-0000,03-0000-0000,平日9:00～18:00,水曜日、祝日、GW、他,不動産の売却はばなな不動産にお任せください,ばなな不動産にお任せください！東京都の不動産売却の実績多数です。,"721,722,723,724","横浜市神奈川区,横浜市西区,横浜市中区,横浜市南区"
