id,prefecture_id,code,name,yomi,jdb_code,area_type
188,1,1694,目梨郡羅臼町,メナシグンラウスチョウ,16940000000,other
189,2,2201,青森市,アオモリシ,22010000000,core_city
190,2,2202,弘前市,ヒロサキシ,22020000000,other
191,2,2203,八戸市,ハチノヘシ,22030000000,core_city
192,2,2204,黒石市,クロイシシ,22040000000,other
193,2,2205,五所川原市,ゴショガワラシ,22050000000,other
194,2,2206,十和田市,トワダシ,22060000000,other
195,2,2207,三沢市,ミサワシ,22070000000,other
196,2,2208,むつ市,ムツシ,22080000000,other
197,2,2209,つがる市,ツガルシ,22090000000,other
198,2,2210,平川市,ヒラカワシ,22100000000,other
199,2,2301,東津軽郡平内町,ヒガシツガルグンヒラナイマチ,23010000000,other
228,2,2450,三戸郡新郷村,サンノヘグンシンゴウムラ,24500000000,other
229,3,3201,盛岡市,モリオカシ,32010000000,core_city
230,3,3202,宮古市,ミヤコシ,32020000000,other
231,3,3203,大船渡市,オオフナトシ,32030000000,other
232,3,3205,花巻市,ハナマキシ,32050000000,other
233,3,3206,北上市,キタカミシ,32060000000,other
234,3,3207,久慈市,クジシ,32070000000,other
235,3,3208,遠野市,トオノシ,32080000000,other
236,3,3209,一関市,イチノセキシ,32090000000,other
237,3,3210,陸前高田市,リクゼンタカタシ,32100000000,other
238,3,3211,釜石市,カマイシシ,32110000000,other
239,3,3213,二戸市,ニノヘシ,32130000000,other
240,3,3214,八幡平市,ハチマンタイシ,32140000000,other
241,3,3215,奥州市,オウシュウシ,32150000000,other
242,3,3301,岩手郡雫石町,イワテグンシズクイシチョウ,33010000000,other
243,3,3302,岩手郡葛巻町,イワテグンクズマキマチ,33020000000,other
244,3,3303,岩手郡岩手町,イワテグンイワテマチ,33030000000,other
245,3,3305,滝沢市,タキザワシ,33050000000,other
246,3,3321,紫波郡紫波町,シワグンシワチョウ,33210000000,other
247,3,3322,紫波郡矢巾町,シワグンヤハバチョウ,33220000000,other
261,3,3524,二戸郡一戸町,ニノヘグンイチノヘマチ,35240000000,other
262,4,4101,仙台市青葉区,センダイシアオバク,41010000000,ordinance_designated_city
263,4,4102,仙台市宮城野区,センダイシミヤギノク,41020000000,ordinance_designated_city
264,4,4103,仙台市若林区,センダイシワカバヤシク,41030000000,ordinance_designated_city
265,4,4104,仙台市太白区,センダイシタイハクク,41040000000,ordinance_designated_city
266,4,4105,仙台市泉区,センダイシイズミク,41050000000,ordinance_designated_city
267,4,4202,石巻市,イシノマキシ,42020000000,other
268,4,4203,塩竈市,シオガマシ,42030000000,other
269,4,4205,気仙沼市,ケセンヌマシ,42050000000,other
270,4,4206,白石市,シロイシシ,42060000000,other
271,4,4207,名取市,ナトリシ,42070000000,other
272,4,4208,角田市,カクダシ,42080000000,other
273,4,4209,多賀城市,タガジョウシ,42090000000,other
274,4,4211,岩沼市,イワヌマシ,42110000000,other
275,4,4212,登米市,トメシ,42120000000,other
276,4,4213,栗原市,クリハラシ,42130000000,other
277,4,4214,東松島市,ヒガシマツシマシ,42140000000,other
278,4,4215,大崎市,オオサキシ,42150000000,other
279,4,4301,刈田郡蔵王町,カッタグンザオウマチ,43010000000,other
280,4,4302,刈田郡七ヶ宿町,カッタグンシチカシュクマチ,43020000000,other
300,4,4606,本吉郡南三陸町,モトヨシグンミナミサンリクチョウ,46060000000,other
301,5,5201,秋田市,アキタシ,52010000000,core_city
302,5,5202,能代市,ノシロシ,52020000000,other
303,5,5203,横手市,ヨコテシ,52030000000,other
304,5,5204,大館市,オオダテシ,52040000000,other
305,5,5206,男鹿市,オガシ,52060000000,other
306,5,5207,湯沢市,ユザワシ,52070000000,other
307,5,5209,鹿角市,カヅノシ,52090000000,other
308,5,5210,由利本荘市,ユリホンジョウシ,52100000000,other
309,5,5211,潟上市,カタガミシ,52110000000,other
310,5,5212,大仙市,ダイセンシ,52120000000,other
311,5,5213,北秋田市,キタアキタシ,52130000000,other
312,5,5214,にかほ市,ニカホシ,52140000000,other
313,5,5215,仙北市,センボクシ,52150000000,other
314,5,5303,鹿角郡小坂町,カヅノグンコサカマチ,53030000000,other
315,5,5327,北秋田郡上小阿仁村,キタアキタグンカミコアニムラ,53270000000,other
326,6,6201,山形市,ヤマガタシ,62010000000,core_city
327,6,6202,米沢市,ヨネザワシ,62020000000,other
328,6,6203,鶴岡市,ツルオカシ,62030000000,other
329,6,6204,酒田市,サカタシ,62040000000,other
330,6,6205,新庄市,シンジョウシ,62050000000,other
331,6,6206,寒河江市,サガエシ,62060000000,other
332,6,6207,上山市,カミノヤマシ,62070000000,other
333,6,6208,村山市,ムラヤマシ,62080000000,other
334,6,6209,長井市,ナガイシ,62090000000,other
335,6,6210,天童市,テンドウシ,62100000000,other
336,6,6211,東根市,ヒガシネシ,62110000000,other
337,6,6212,尾花沢市,オバナザワシ,62120000000,other
338,6,6213,南陽市,ナンヨウシ,62130000000,other
339,6,6301,東村山郡山辺町,ヒガシムラヤマグンヤマノベマチ,63010000000,other
340,6,6302,東村山郡中山町,ヒガシムラヤマグンナカヤママチ,63020000000,other
360,6,6461,飽海郡遊佐町,アクミグンユザマチ,64610000000,other
361,7,7201,福島市,フクシマシ,72010000000,core_city
362,7,7202,会津若松市,アイヅワカマツシ,72020000000,other
363,7,7203,郡山市,コオリヤマシ,72030000000,core_city
364,7,7204,いわき市,イワキシ,72040000000,core_city
365,7,7205,白河市,シラカワシ,72050000000,other
366,7,7207,須賀川市,スカガワシ,72070000000,other
367,7,7208,喜多方市,キタカタシ,72080000000,other
368,7,7209,相馬市,ソウマシ,72090000000,other
369,7,7210,二本松市,ニホンマツシ,72100000000,other
370,7,7211,田村市,タムラシ,72110000000,other
371,7,7212,南相馬市,ミナミソウマシ,72120000000,other
372,7,7213,伊達市,ダテシ,72130000000,other
373,7,7214,本宮市,モトミヤシ,72140000000,other
374,7,7301,伊達郡桑折町,ダテグンコオリマチ,73010000000,other
375,7,7303,伊達郡国見町,ダテグンクニミマチ,73030000000,other
420,8,8201,水戸市,ミトシ,82010000000,core_city
421,8,8202,日立市,ヒタチシ,82020000000,other
422,8,8203,土浦市,ツチウラシ,82030000000,other
423,8,8204,古河市,コガシ,82040000000,other
424,8,8205,石岡市,イシオカシ,82050000000,other
432,8,8216,笠間市,カサマシ,82160000000,other
433,8,8217,取手市,トリデシ,82170000000,other
434,8,8219,牛久市,ウシクシ,82190000000,other
435,8,8220,つくば市,ツクバシ,82200000000,other
436,8,8221,ひたちなか市,ヒタチナカシ,82210000000,other
437,8,8222,鹿嶋市,カシマシ,82220000000,other
438,8,8223,潮来市,イタコシ,82230000000,other
440,8,8225,常陸大宮市,ヒタチオオミヤシ,82250000000,other
441,8,8226,那珂市,ナカシ,82260000000,other
442,8,8227,筑西市,チクセイシ,82270000000,other
443,8,8228,坂東市,バンドウシ,82280000000,other
463,8,8564,北相馬郡利根町,キタソウマグントネマチ,85640000000,other
464,9,9201,宇都宮市,ウツノミヤシ,92010000000,core_city
465,9,9202,足利市,アシカガシ,92020000000,other
466,9,9203,栃木市,トチギシ,92030000000,other
467,9,9204,佐野市,サノシ,92040000000,other
474,9,9213,那須塩原市,ナスシオバラシ,92130000000,other
475,9,9214,さくら市,サクラシ,92140000000,other
476,9,9215,那須烏山市,ナスカラスヤマシ,92150000000,other
477,9,9216,下野市,シモツケシ,92160000000,other
489,9,9411,那須郡那珂川町,ナスグンナカガワマチ,94110000000,other
490,10,10201,前橋市,マエバシシ,102010000000,core_city
491,10,10202,高崎市,タカサキシ,102020000000,core_city
492,10,10203,桐生市,キリュウシ,102030000000,other
494,10,10205,太田市,オオタシ,102050000000,other
495,10,10206,沼田市,ヌマタシ,102060000000,other
496,10,10207,館林市,タテバヤシシ,102070000000,other
497,10,10208,渋川市,シブカワシ,102080000000,other
526,11,11102,さいたま市北区,サイタマシキタク,111020000000,ordinance_designated_city
527,11,11103,さいたま市大宮区,サイタマシオオミヤク,111030000000,ordinance_designated_city
528,11,11104,さいたま市見沼区,サイタマシミヌマク,111040000000,ordinance_designated_city
529,11,11105,さいたま市中央区,サイタマシチュウオウク,111050000000,ordinance_designated_city
530,11,11106,さいたま市桜区,サイタマシサクラク,111060000000,ordinance_designated_city
531,11,11107,さいたま市浦和区,サイタマシウラワク,111070000000,ordinance_designated_city
532,11,11108,さいたま市南区,サイタマシミナミク,111080000000,ordinance_designated_city
533,11,11109,さいたま市緑区,サイタマシミドリク,111090000000,ordinance_designated_city
534,11,11110,さいたま市岩槻区,サイタマシイワツキク,111100000000,ordinance_designated_city
535,11,11201,川越市,カワゴエシ,112010000000,core_city
536,11,11202,熊谷市,クマガヤシ,112020000000,other
537,11,11203,川口市,カワグチシ,112030000000,core_city
538,11,11206,行田市,ギョウダシ,112060000000,other
539,11,11207,秩父市,チチブシ,112070000000,other
540,11,11208,所沢市,トコロザワシ,112080000000,other
541,11,11209,飯能市,ハンノウシ,112090000000,other
542,11,11210,加須市,カゾシ,112100000000,other
543,11,11211,本庄市,ホンジョウシ,112110000000,other
544,11,11212,東松山市,ヒガシマツヤマシ,112120000000,other
545,11,11214,春日部市,カスカベシ,112140000000,other
546,11,11215,狭山市,サヤマシ,112150000000,other
547,11,11216,羽生市,ハニュウシ,112160000000,other
